"subj_idx","series","condition","misNum","shapeEn","shapeNameEn","characterNameEn","rt","acc","med_rt"
"sv020008",0,"mismatch",2,"pentagon","circular",NA,758.7875,1,716.85
"sv020008",0,"mismatch",2,"pentagon","triangle",NA,735.966666666667,1,742.4
"sv020008",0,"mismatch",2,"square","circular",NA,749.470833333333,0.958333333333333,749.5
"sv020008",0,"mismatch",2,"square","pentagon",NA,762.4875,1,731.85
"sv020008",0,"mismatch",2,"triangle","pentagon",NA,725.133333333333,1,691.25
"sv020008",0,"mismatch",2,"triangle","square",NA,729.666666666667,1,725.9
"sv020008",0,"mismatch",3,"circular","pentagon",NA,584.11875,1,574.1
"sv020008",0,"mismatch",3,"circular","square",NA,573.6375,1,561.75
"sv020008",0,"mismatch",3,"circular","triangle",NA,576.49375,0.9375,569.1
"sv020008",0,"mismatch",3,"pentagon","circular",NA,588.38125,1,595.9
"sv020008",0,"mismatch",3,"pentagon","square",NA,637.35,0.9375,625.05
"sv020008",0,"mismatch",3,"pentagon","triangle",NA,617.9125,1,601
"sv020008",0,"mismatch",3,"square","circular",NA,617.93125,1,598.55
"sv020008",0,"mismatch",3,"square","pentagon",NA,656.1625,0.875,640.8
"sv020008",0,"mismatch",3,"square","triangle",NA,592.3875,1,601.05
"sv020008",0,"mismatch",3,"triangle","circular",NA,567.3125,0.875,562.25
"sv020008",0,"mismatch",3,"triangle","pentagon",NA,614.05625,1,602.05
"sv020008",0,"mismatch",3,"triangle","square",NA,564.2125,0.9375,561.05
"sv020008",1,"match",1,"circular",NA,"stranger",638.5875,0.8125,635.05
"sv020008",1,"match",1,"pentagon",NA,"friend",625.49375,0.979166666666667,629.7
"sv020008",1,"match",1,"square",NA,"mother",621.895833333333,0.9375,592.55
"sv020008",1,"match",1,"triangle",NA,"self",560.808333333333,0.958333333333333,554.1
"sv020008",1,"match",2,"circular",NA,"stranger",698.6,0.875,689.45
"sv020008",1,"match",2,"pentagon",NA,"friend",659.847916666667,0.895833333333333,658.4
"sv020008",1,"match",2,"square",NA,"mother",643.216666666667,0.895833333333333,621.05
"sv020008",1,"match",2,"triangle",NA,"self",571.379166666667,0.979166666666667,572.15
"sv020008",1,"match",3,"circular",NA,"stranger",655.04375,0.854166666666667,654.1
"sv020008",1,"match",3,"pentagon",NA,"friend",661.391666666667,0.854166666666667,635.9
"sv020008",1,"match",3,"square",NA,"mother",624.214583333333,0.979166666666667,612.1
"sv020008",1,"match",3,"triangle",NA,"self",566.74375,1,563.5
"sv020008",1,"mismatch",1,"circular",NA,"self",615.9375,1,614.8
"sv020008",1,"mismatch",1,"pentagon",NA,"stranger",693.175,0.916666666666667,688.3
"sv020008",1,"mismatch",1,"square",NA,"friend",680.85625,0.791666666666667,677.45
"sv020008",1,"mismatch",1,"triangle",NA,"mother",629.0625,0.958333333333333,621.25
"sv020008",1,"mismatch",2,"circular",NA,"mother",658.154166666667,0.958333333333333,641
"sv020008",1,"mismatch",2,"circular",NA,"self",651.141666666667,1,651.85
"sv020008",1,"mismatch",2,"pentagon",NA,"self",654.391666666667,1,659.45
"sv020008",1,"mismatch",2,"pentagon",NA,"stranger",715.704166666667,0.791666666666667,688.45
"sv020008",1,"mismatch",2,"square",NA,"friend",690.295833333333,0.625,671.2
"sv020008",1,"mismatch",2,"square",NA,"stranger",681.65,1,658.15
"sv020008",1,"mismatch",2,"triangle",NA,"friend",673.125,1,667.8
"sv020008",1,"mismatch",2,"triangle",NA,"mother",668.720833333333,1,654.45
"sv020008",1,"mismatch",3,"circular",NA,"friend",675.08125,1,660.65
"sv020008",1,"mismatch",3,"circular",NA,"mother",653.94375,1,653.45
"sv020008",1,"mismatch",3,"circular",NA,"self",635.4125,1,635.5
"sv020008",1,"mismatch",3,"pentagon",NA,"mother",660.1125,0.75,652.35
"sv020008",1,"mismatch",3,"pentagon",NA,"self",642.41875,0.9375,637.7
"sv020008",1,"mismatch",3,"pentagon",NA,"stranger",652.8,1,655.25
"sv020008",1,"mismatch",3,"square",NA,"friend",681.25,0.5625,674.7
"sv020008",1,"mismatch",3,"square",NA,"self",627.99375,0.9375,627.35
"sv020008",1,"mismatch",3,"square",NA,"stranger",678.1125,1,640.65
"sv020008",1,"mismatch",3,"triangle",NA,"friend",635.3625,1,633.3
"sv020008",1,"mismatch",3,"triangle",NA,"mother",655.65,1,641.95
"sv020008",1,"mismatch",3,"triangle",NA,"stranger",673.03125,1,663.6
"sv020009",0,"match",1,"circular","circular",NA,594.014166666667,0.979166666666667,587.5225
"sv020009",0,"match",1,"pentagon","pentagon",NA,657.53,0.9375,662.92
"sv020009",0,"match",1,"square","square",NA,614.148854166667,0.9375,593.5975
"sv020009",0,"match",1,"triangle","triangle",NA,597.147708333333,0.979166666666667,598.3825
"sv020009",0,"match",2,"circular","circular",NA,647.823125,0.979166666666667,644.235
"sv020009",0,"match",2,"pentagon","pentagon",NA,701.406979166667,0.9375,704.0975
"sv020009",0,"match",2,"square","square",NA,654.403541666667,0.979166666666667,651.645
"sv020009",0,"match",2,"triangle","triangle",NA,671.5921875,0.979166666666667,664.505
"sv020009",0,"match",3,"circular","circular",NA,629.583958333333,1,624.655
"sv020009",0,"match",3,"pentagon","pentagon",NA,675.998125,0.958333333333333,658.2075
"sv020009",0,"match",3,"square","square",NA,633.727708333333,0.979166666666667,627.5925
"sv020009",0,"match",3,"triangle","triangle",NA,624.808958333333,1,620.4375
"sv020009",0,"mismatch",1,"circular","triangle",NA,638.893229166667,0.979166666666667,642.9475
"sv020009",0,"mismatch",1,"pentagon","circular",NA,661.2975,1,656.9525
"sv020009",0,"mismatch",1,"square","pentagon",NA,705.355833333333,0.916666666666667,721.93
"sv020009",0,"mismatch",1,"triangle","square",NA,641.863854166667,1,625.4175
"sv020009",0,"mismatch",2,"circular","square",NA,830.67625,0.916666666666667,804.86
"sv020009",0,"mismatch",2,"circular","triangle",NA,737.853333333333,1,722.975
"sv020009",0,"mismatch",2,"pentagon","circular",NA,740.425,0.916666666666667,706.2925
"sv020009",0,"mismatch",2,"pentagon","triangle",NA,800.078958333333,0.958333333333333,770.445
"sv020009",0,"mismatch",2,"square","circular",NA,774.306875,0.958333333333333,741.71
"sv020009",0,"mismatch",2,"square","pentagon",NA,781.865,0.958333333333333,778.6375
"sv020009",0,"mismatch",2,"triangle","pentagon",NA,711.016875,1,690.4425
"sv020009",0,"mismatch",2,"triangle","square",NA,731.932291666667,0.958333333333333,716.05
"sv020009",0,"mismatch",3,"circular","pentagon",NA,753.8865625,0.9375,755.0675
"sv020009",0,"mismatch",3,"circular","square",NA,698.535,1,665.525
"sv020009",0,"mismatch",3,"circular","triangle",NA,661.676875,1,620.495
"sv020009",0,"mismatch",3,"pentagon","circular",NA,712.52875,1,692.105
"sv020009",0,"mismatch",3,"pentagon","square",NA,723.025625,0.8125,757.205
"sv020009",0,"mismatch",3,"pentagon","triangle",NA,697.6653125,1,709.3425
"sv020009",0,"mismatch",3,"square","circular",NA,710.8065625,0.9375,687.3075
"sv020009",0,"mismatch",3,"square","pentagon",NA,714.078125,1,694.16
"sv020009",0,"mismatch",3,"square","triangle",NA,667.10125,1,674.61
"sv020009",0,"mismatch",3,"triangle","circular",NA,678.2578125,1,680.1
"sv020009",0,"mismatch",3,"triangle","pentagon",NA,671.0903125,1,652.865
"sv020009",0,"mismatch",3,"triangle","square",NA,705.0325,1,714.78
"sv020009",1,"match",1,"circular",NA,"stranger",797.755,0.979166666666667,765.895
"sv020009",1,"match",1,"pentagon",NA,"friend",716.8225,0.979166666666667,683.66
"sv020009",1,"match",1,"square",NA,"mother",743.515416666667,0.9375,697.085
"sv020009",1,"match",1,"triangle",NA,"self",687.417083333333,1,659.7075
